Etiqueta,# Muestras,Media,Mín,Máx,Desv. Estándar,% Error,Rendimiento,Kb/sec,Sent KB/sec,Media de Bytes
HTTP Request,22664,652,381,16000,"1113,94","0,004%","72,89921","63,71","16,62","895,0"
Total,22664,652,381,16000,"1113,94","0,004%","72,89921","63,71","16,62","895,0"
