Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
HTTP Request,22664,652,505,865,980,1133,381,16000,"0,004%","72,89921","63,71","16,62"
Total,22664,652,505,865,980,1133,381,16000,"0,004%","72,89921","63,71","16,62"
